"","contact_serial_no","infant_serial_no","contact_age","contact_time"
"413","4C-02-020-01","4C-02-020",21,3
"414","4C-02-020-02","4C-02-020",21,3
"415","4C-02-020-03","4C-02-020",25,2
"416","4C-02-020-04","4C-02-020",25,2
"417","4C-02-020-05","4C-02-020",26,2
"418","4C-02-020-06","4C-02-020",45,3
"419","4C-02-020-07","4C-02-020",47,2
"420","4C-02-020-08","4C-02-020",49,3
"421","4C-02-021-01","4C-02-021",35,2
"422","4C-02-021-02","4C-02-021",37,2
"423","4C-02-021-03","4C-02-021",68,3
"424","4C-02-021-04","4C-02-021",48,2
"425","4C-02-021-05","4C-02-021",34,2
"426","4C-02-021-06","4C-02-021",28,3
"427","4C-02-021-07","4C-02-021",48,3
"428","4C-02-022-01","4C-02-022",25,3
"429","4C-02-022-02","4C-02-022",5,2
"430","4C-02-022-03","4C-02-022",53,3
"431","4C-02-023-01","4C-02-023",28,3
"432","4C-02-023-02","4C-02-023",34,3
"433","4C-02-023-03","4C-02-023",60,3
"434","4C-02-023-04","4C-02-023",65,1
"435","4C-02-023-05","4C-02-023",11,1
"436","4C-02-023-06","4C-02-023",28,2
"437","4C-02-024-01","4C-02-024",30,3
"438","4C-02-024-02","4C-02-024",23,3
"439","4C-02-024-03","4C-02-024",40,3
"440","4C-02-024-04","4C-02-024",30,3
"441","4C-02-025-01","4C-02-025",24,3
"442","4C-02-025-02","4C-02-025",75,3
"443","4C-02-026-01","4C-02-026",26,3
"444","4C-02-026-02","4C-02-026",55,2
"445","4C-02-026-03","4C-02-026",62,3
"446","4C-02-027-01","4C-02-027",28,3
"447","4C-02-027-02","4C-02-027",55,3
"448","4C-02-027-03","4C-02-027",54,3
"449","4C-02-027-04","4C-02-027",32,3
"450","4C-02-028-01","4C-02-028",24,3
"451","4C-02-028-02","4C-02-028",28,3
"452","4C-02-028-03","4C-02-028",54,3
"453","4C-02-029-01","4C-02-029",25,3
"454","4C-02-029-02","4C-02-029",59,3
"455","4C-02-029-03","4C-02-029",68,2
"456","4C-02-029-04","4C-02-029",28,2
"457","4C-02-030-01","4C-02-030",20,3
"458","4C-02-030-02","4C-02-030",30,3
"459","4C-02-030-03","4C-02-030",55,2
"460","4C-02-030-04","4C-02-030",50,3
"461","4C-02-031-01","4C-02-031",25,3
"462","4C-02-031-02","4C-02-031",31,2
"463","4C-02-031-03","4C-02-031",54,3
"464","4C-02-031-04","4C-02-031",30,2
"465","4C-02-032-01","4C-02-032",23,3
"466","4C-02-032-02","4C-02-032",33,2
"467","4C-02-032-03","4C-02-032",65,2
"468","4C-02-032-04","4C-02-032",59,2
"469","4C-02-032-05","4C-02-032",0,3
"470","4C-02-032-06","4C-02-032",0,3
"471","4C-02-033-01","4C-02-033",22,3
"472","4C-02-033-02","4C-02-033",48,3
"473","4C-02-033-03","4C-02-033",26,3
"474","4C-02-034-01","4C-02-034",33,3
"475","4C-02-034-02","4C-02-034",62,3
"476","4C-02-034-03","4C-02-034",36,3
"477","4C-02-034-04","4C-02-034",61,2
"478","4C-02-035-01","4C-02-035",23,3
"479","4C-02-035-02","4C-02-035",22,3
"480","4C-02-035-03","4C-02-035",47,3
"481","4C-02-036-01","4C-02-036",26,3
"482","4C-02-036-02","4C-02-036",28,3
"483","4C-02-036-03","4C-02-036",46,2
"484","4C-02-036-04","4C-02-036",49,2
"485","4C-02-036-05","4C-02-036",20,2
"486","4C-02-036-06","4C-02-036",23,1
"487","4C-02-036-07","4C-02-036",27,2
"488","4C-02-037-01","4C-02-037",33,3
"489","4C-02-037-02","4C-02-037",35,2
"490","4C-02-037-03","4C-02-037",3,1
"491","4C-02-037-04","4C-02-037",26,2
"492","4C-02-037-05","4C-02-037",56,2
"493","4C-02-037-06","4C-02-037",13,2
"494","4C-02-038-01","4C-02-038",31,3
"495","4C-02-038-02","4C-02-038",70,3
"496","4C-02-038-03","4C-02-038",31,3
"497","4C-02-039-01","4C-02-039",33,3
"498","4C-02-039-02","4C-02-039",8,2
"499","4C-02-039-03","4C-02-039",33,2
"500","4C-02-039-04","4C-02-039",40,2
"501","4C-02-039-05","4C-02-039",36,2
"502","4C-02-040-01","4C-02-040",25,3
"503","4C-02-040-02","4C-02-040",27,3
"504","4C-02-040-03","4C-02-040",32,2
"505","4C-02-040-04","4C-02-040",3,2
"506","4C-02-040-05","4C-02-040",52,2
"507","4C-02-041-01","4C-02-041",24,3
"508","4C-02-041-02","4C-02-041",30,3
"509","4C-02-041-03","4C-02-041",3,2
"510","4C-02-042-01","4C-02-042",33,3
"511","4C-02-042-02","4C-02-042",8,2
"512","4C-02-042-03","4C-02-042",34,3
"513","4C-02-043-01","4C-02-043",34,3
"514","4C-02-043-02","4C-02-043",31,2
"515","4C-02-043-03","4C-02-043",54,2
"516","4C-02-044-01","4C-02-044",30,3
"517","4C-02-044-02","4C-02-044",54,2
"518","4C-02-044-03","4C-02-044",34,2
"519","4C-02-045-01","4C-02-045",30,3
"520","4C-02-045-02","4C-02-045",6,2
"521","4C-02-045-03","4C-02-045",47,3
"522","4C-02-046-01","4C-02-046",20,3
"523","4C-02-046-02","4C-02-046",52,3
"524","4C-02-046-03","4C-02-046",46,3
"525","4C-02-046-04","4C-02-046",25,3
"526","4C-02-046-05","4C-02-046",50,2
"527","4C-02-046-06","4C-02-046",48,2
"528","4C-02-047-01","4C-02-047",25,3
"529","4C-02-047-02","4C-02-047",67,2
"530","4C-02-047-03","4C-02-047",41,3
"531","4C-02-048-01","4C-02-048",31,3
"532","4C-02-048-02","4C-02-048",10,2
"533","4C-02-048-03","4C-02-048",36,2
"534","4C-02-049-01","4C-02-049",29,2
"535","4C-02-049-02","4C-02-049",33,2
"536","4C-02-049-03","4C-02-049",8,2
"537","4C-02-049-04","4C-02-049",58,2
"538","4C-02-049-05","4C-02-049",0,3
"539","4C-02-049-06","4C-02-049",0,3
"540","4C-02-050-01","4C-02-050",21,3
"541","4C-02-050-02","4C-02-050",50,2
"542","4C-02-050-03","4C-02-050",52,2
"543","4C-02-050-04","4C-02-050",23,3
"544","4C-02-050-05","4C-02-050",25,2
"545","4C-02-051-01","4C-02-051",21,3
"546","4C-02-051-02","4C-02-051",43,2
"547","4C-02-051-03","4C-02-051",45,2
"548","4C-02-051-04","4C-02-051",20,2
"549","4C-02-051-05","4C-02-051",22,2
"550","4C-02-052-01","4C-02-052",80,3
"551","4C-02-052-02","4C-02-052",39,3
"552","4C-02-052-03","4C-02-052",36,3
"553","4C-02-052-04","4C-02-052",41,2
"554","4C-02-052-05","4C-02-052",63,2
"555","4C-02-053-01","4C-02-053",30,3
"556","4C-02-053-02","4C-02-053",55,3
